title,isbn,price,url,published_at,publisher
実践 コンピュータビジョン,978-4-87311-607-5,"3,300",https://www.oreilly.co.jp/books/9784873116075/,2013-03-23,オライリー・ジャパン
Head First C,978-4-87311-609-9,"3,960",https://www.oreilly.co.jp/books/9784873116099/,2013-04-03,オライリー・ジャパン
テスト駆動開発による組み込みプログラミング,978-4-87311-614-3,"3,960",https://www.oreilly.co.jp/books/9784873116143/,2013-04-24,オライリー・ジャパン
開眼！ JavaScript,978-4-87311-621-1,"2,420",https://www.oreilly.co.jp/books/9784873116211/,2013-06-19,オライリー・ジャパン
続・初めてのPerl 改訂第2版,978-4-87311-628-0,"3,960",https://www.oreilly.co.jp/books/9784873116280/,2013-08-21,オライリー・ジャパン
Team Geek,978-4-87311-630-3,"2,420",https://www.oreilly.co.jp/books/9784873116303/,2013-07-20,オライリー・ジャパン
初めてのPHP、MySQL、JavaScript＆CSS 第2版,978-4-87311-633-4,"3,960",https://www.oreilly.co.jp/books/9784873116334/,2013-08-21,オライリー・ジャパン
入門 データ構造とアルゴリズ,978-4-87311-634-1,"4,180",https://www.oreilly.co.jp/books/9784873116341/,2013-08-24,オライリー・ジャパン
イプシロン・ザ・ロケット,978-4-87311-639-6,"2,750",https://www.oreilly.co.jp/books/9784873116396/,2013-11-12,オライリー・ジャパン
入門 Unix for OS X 第5版,978-4-87311-644-0,"2,640",https://www.oreilly.co.jp/books/9784873116440/,2013-10-26,オライリー・ジャパン
インタラクティブ・データビジュアライゼーション,978-4-87311-646-4,"3,080",https://www.oreilly.co.jp/books/9784873116464/,2014-02-19,オライリー・ジャパン
Rクイックリファレンス 第2版,978-4-87311-651-8,"4,620",https://www.oreilly.co.jp/books/9784873116518/,2014-01-25,オライリー・ジャパン
詳説 Cポインタ,978-4-87311-656-3,"2,420",https://www.oreilly.co.jp/books/9784873116563/,2013-12-26,オライリー・ジャパン
JavaScriptで学ぶ関数型プログラミング,978-4-87311-660-0,"3,300",https://www.oreilly.co.jp/books/9784873116600/,2014-01-18,オライリー・ジャパン
実践 Vagrant,978-4-87311-665-5,"2,860",https://www.oreilly.co.jp/books/9784873116655/,2014-02-21,オライリー・ジャパン
Mad Science 2,978-4-87311-666-2,"3,080",https://www.oreilly.co.jp/books/9784873116662/,2014-03-25,オライリー・ジャパン
アルゴリズムパズル,978-4-87311-669-3,"3,300",https://www.oreilly.co.jp/books/9784873116693/,2014-04-26,オライリー・ジャパン
ハイパフォーマンス ブラウザネットワーキング,978-4-87311-676-1,"4,400",https://www.oreilly.co.jp/books/9784873116761/,2014-05-16,オライリー・ジャパン
「もの」はどのようにつくられているのか？,978-4-87311-677-8,"3,300",https://www.oreilly.co.jp/books/9784873116778/,2014-05-24,オライリー・ジャパン
詳解 WordPress,978-4-87311-678-5,"2,860",https://www.oreilly.co.jp/books/9784873116785/,2015-04-25,オライリー・ジャパン
入門 ソーシャルデータ 第2版,978-4-87311-679-2,"3,960",https://www.oreilly.co.jp/books/9784873116792/,2014-06-21,オライリー・ジャパン
戦略的データサイエンス入門,978-4-87311-685-3,"3,080",https://www.oreilly.co.jp/books/9784873116853/,2014-07-19,オライリー・ジャパン
Web API: The Good Parts,978-4-87311-686-0,"2,420",https://www.oreilly.co.jp/books/9784873116860/,2014-11-21,オライリー・ジャパン
Python文法詳解,978-4-87311-688-4,"3,520",https://www.oreilly.co.jp/books/9784873116884/,2014-09-18,オライリー・ジャパン
Think Bayes,978-4-87311-694-5,"2,640",https://www.oreilly.co.jp/books/9784873116945/,2014-09-06,オライリー・ジャパン
実践 Selenium WebDriver,978-4-87311-695-2,"3,300",https://www.oreilly.co.jp/books/9784873116952/,2014-09-18,オライリー・ジャパン
アンダースタンディング コンピュテーション,978-4-87311-697-6,"3,520",https://www.oreilly.co.jp/books/9784873116976/,2014-09-18,オライリー・ジャパン
実践 機械学習システ,978-4-87311-698-3,"3,520",https://www.oreilly.co.jp/books/9784873116983/,2014-10-25,オライリー・ジャパン
データ分析によるネットワークセキュリティ,978-4-87311-700-3,"3,960",https://www.oreilly.co.jp/books/9784873117003/,2016-06-11,オライリー・ジャパン
データサイエンス講義,978-4-87311-701-0,"3,300",https://www.oreilly.co.jp/books/9784873117010/,2014-10-25,オライリー・ジャパン
モバイルデザインパターン 第2版,978-4-87311-703-4,"4,070",https://www.oreilly.co.jp/books/9784873117034/,2015-02-12,オライリー・ジャパン
Javaによる関数型プログラミング,978-4-87311-704-1,"2,860",https://www.oreilly.co.jp/books/9784873117041/,2014-10-24,オライリー・ジャパン
詳解 Tomcat,978-4-87311-705-8,"5,060",https://www.oreilly.co.jp/books/9784873117058/,2014-12-26,オライリー・ジャパン
Serverspec,978-4-87311-709-6,"3,080",https://www.oreilly.co.jp/books/9784873117096/,2015-01-17,オライリー・ジャパン
統計クイックリファレンス 第2版,978-4-87311-710-2,"4,070",https://www.oreilly.co.jp/books/9784873117102/,2015-01-24,オライリー・ジャパン
Lean Analytics,978-4-87311-711-9,"3,630",https://www.oreilly.co.jp/books/9784873117119/,2015-01-24,オライリー・ジャパン
コンピュータシステムの理論と実,978-4-87311-712-6,"3,960",https://www.oreilly.co.jp/books/9784873117126/,2015-03-25,オライリー・ジャパン
Bluetooth Low Energyをはじめよう,978-4-87311-713-3,"2,530",https://www.oreilly.co.jp/books/9784873117133/,2015-02-25,オライリー・ジャパン
グラフデータベース,978-4-87311-714-0,"3,300",https://www.oreilly.co.jp/books/9784873117140/,2015-03-25,オライリー・ジャパン
RStudioではじめるRプログラミング入門,978-4-87311-715-7,"2,860",https://www.oreilly.co.jp/books/9784873117157/,2015-03-25,オライリー・ジャパン
詳説 イーサネット 第2版,978-4-87311-717-1,"5,060",https://www.oreilly.co.jp/books/9784873117171/,2015-06-10,オライリー・ジャパン
Javaパフォーマンス,978-4-87311-718-8,"4,290",https://www.oreilly.co.jp/books/9784873117188/,2015-04-11,オライリー・ジャパン
入門 React,978-4-87311-719-5,"2,860",https://www.oreilly.co.jp/books/9784873117195/,2015-04-03,オライリー・ジャパン
作ることで学ぶ,978-4-87311-720-1,"3,300",https://www.oreilly.co.jp/books/9784873117201/,2015-03-25,オライリー・ジャパン
リーン顧客開発,978-4-87311-721-8,"2,860",https://www.oreilly.co.jp/books/9784873117218/,2015-04-25,オライリー・ジャパン
トラクション,978-4-87311-722-5,"2,420",https://www.oreilly.co.jp/books/9784873117225/,2015-05-23,オライリー・ジャパン
データ匿名化手法,978-4-87311-724-9,"3,080",https://www.oreilly.co.jp/books/9784873117249/,2015-05-23,オライリー・ジャパン
ティンカリングをはじめよう,978-4-87311-726-3,"3,080",https://www.oreilly.co.jp/books/9784873117263/,2015-06-24,オライリー・ジャパン
Cython,978-4-87311-727-0,"3,520",https://www.oreilly.co.jp/books/9784873117270/,2015-06-19,オライリー・ジャパン
ヘルシープログラマ,978-4-87311-728-7,"2,860",https://www.oreilly.co.jp/books/9784873117287/,2015-07-23,オライリー・ジャパン
実践 JUnit,978-4-87311-730-0,"3,080",https://www.oreilly.co.jp/books/9784873117300/,2015-09-02,オライリー・ジャパン
ユーザーストーリーマッピング,978-4-87311-732-4,"3,300",https://www.oreilly.co.jp/books/9784873117324/,2015-07-25,オライリー・ジャパン
初めてのSpark,978-4-87311-734-8,"3,520",https://www.oreilly.co.jp/books/9784873117348/,2015-08-22,オライリー・ジャパン
Think Stats 第2版,978-4-87311-735-5,"2,640",https://www.oreilly.co.jp/books/9784873117355/,2015-08-19,オライリー・ジャパン
Effective Modern C++,978-4-87311-736-2,"4,180",https://www.oreilly.co.jp/books/9784873117362/,2015-09-18,オライリー・ジャパン
実践 Python 3,978-4-87311-739-3,"3,740",https://www.oreilly.co.jp/books/9784873117393/,2015-12-01,オライリー・ジャパン
Seleniumデザインパターン & ベストプラクティス,978-4-87311-742-3,"3,300",https://www.oreilly.co.jp/books/9784873117423/,2015-09-18,オライリー・ジャパン
メタプログラミングRuby 第2版,978-4-87311-743-0,"3,300",https://www.oreilly.co.jp/books/9784873117430/,2015-10-10,オライリー・ジャパン
物を作って生きるには,978-4-87311-747-8,"2,420",https://www.oreilly.co.jp/books/9784873117478/,2015-12-26,オライリー・ジャパン
Sparkによる実践データ解析,978-4-87311-750-8,"3,740",https://www.oreilly.co.jp/books/9784873117508/,2016-01-23,オライリー・ジャパン
Make: Analog Synthesizers,978-4-87311-751-5,"3,300",https://www.oreilly.co.jp/books/9784873117515/,2017-03-18,オライリー・ジャパン
Go言語によるWebアプリケーション開発,978-4-87311-752-2,"3,520",https://www.oreilly.co.jp/books/9784873117522/,2016-01-22,オライリー・ジャパン
UnityによるVRアプリケーション開発,978-4-87311-757-7,"3,300",https://www.oreilly.co.jp/books/9784873117577/,2016-08-26,オライリー・ジャパン
ゼロから作るDeep Learning,978-4-87311-758-4,"3,740",https://www.oreilly.co.jp/books/9784873117584/,2016-09-24,オライリー・ジャパン
発酵の技法,978-4-87311-763-8,"3,960",https://www.oreilly.co.jp/books/9784873117638/,2016-04-23,オライリー・ジャパン
カンバン仕事術,978-4-87311-764-5,"3,960",https://www.oreilly.co.jp/books/9784873117645/,2016-03-26,オライリー・ジャパン
初めてのAnsible,978-4-87311-765-2,"3,520",https://www.oreilly.co.jp/books/9784873117652/,2016-04-16,オライリー・ジャパン
CSSシークレット,978-4-87311-766-9,"3,740",https://www.oreilly.co.jp/books/9784873117669/,2016-07-23,オライリー・ジャパン
Pythonからはじめる数学入門,978-4-87311-768-3,"3,080",https://www.oreilly.co.jp/books/9784873117683/,2016-05-21,オライリー・ジャパン
リーンブランディング,978-4-87311-769-0,"3,300",https://www.oreilly.co.jp/books/9784873117690/,2016-08-26,オライリー・ジャパン
初めてのThree.js 第2版,978-4-87311-770-6,"4,400",https://www.oreilly.co.jp/books/9784873117706/,2016-07-23,オライリー・ジャパン
情報アーキテクチャ 第4版,978-4-87311-772-0,"3,960",https://www.oreilly.co.jp/books/9784873117720/,2016-11-18,オライリー・ジャパン
Processingをはじめよう 第2版,978-4-87311-773-7,"2,200",https://www.oreilly.co.jp/books/9784873117737/,2016-09-07,オライリー・ジャパン
Docker,978-4-87311-776-8,"3,960",https://www.oreilly.co.jp/books/9784873117768/,2016-08-13,オライリー・ジャパン
行列プログラマー,978-4-87311-777-5,"5,940",https://www.oreilly.co.jp/books/9784873117775/,2016-10-05,オライリー・ジャパン
デザインの伝え方,978-4-87311-779-9,"3,080",https://www.oreilly.co.jp/books/9784873117799/,2016-09-16,オライリー・ジャパン
デザインスプリント,978-4-87311-780-5,"3,300",https://www.oreilly.co.jp/books/9784873117805/,2016-11-26,オライリー・ジャパン
Cクイックリファレンス 第2版,978-4-87311-781-2,"5,060",https://www.oreilly.co.jp/books/9784873117812/,2016-11-05,オライリー・ジャパン
初めてのJavaScript 第3版,978-4-87311-783-6,"3,520",https://www.oreilly.co.jp/books/9784873117836/,2017-01-20,オライリー・ジャパン
実践 Appium,978-4-87311-784-3,"2,640",https://www.oreilly.co.jp/books/9784873117843/,2016-11-26,オライリー・ジャパン
